insight_id	category	trigger	sourceText	sourceUrl	current_adult_title	current_adult_body	current_kid_title	current_kid_body	proposed_adult_title	proposed_adult_body	proposed_kid_title	proposed_kid_body	notes
I1	sleep	habit_added	Walker — Why We Sleep (overview)	https://pubmed.ncbi.nlm.nih.gov/	Sleep helps memories stick	"Your brain files the day while you sleep. Skip it too often and things stop sticking — meetings, names, where you left your keys.

Consistent sleep beats one heroic ten-hour catch-up."	Sleep helps you remember	"When you sleep, your brain sorts the day — a bit like tidying your room.

If you miss sleep a lot, remembering gets harder. A usual bedtime beats one huge catch-up night."	Sleep helps memories stick	"Your brain files the day while you sleep. Skip it too often and things stop sticking — meetings, names, where you left your keys.

Consistent sleep beats one heroic ten-hour catch-up."	Sleep helps you remember	"When you sleep, your brain sorts the day — a bit like tidying your room.

If you miss sleep a lot, remembering gets harder. A usual bedtime beats one huge catch-up night."	
I2	sleep	week_2	NIH — circadian health	https://www.nih.gov/news-events/nih-research-matters/understanding-circadian-rhythm-sleep	Your body likes a rhythm	"Light, meals, and bedtime all tell your body what time it is. Send mixed signals and your mood and focus will let you know about it.

A dull wind-down routine is actually doing a lot of work."	Your body likes a rhythm	"Sunlight, meals, and bedtime tell your body what time it is. Mixed signals can make you feel off.

A calm wind-down routine is doing real work, even if it feels boring."	Your body likes a rhythm	"Light, meals, and bedtime all tell your body what time it is. Send mixed signals and your mood and focus will let you know about it.

A dull wind-down routine is actually doing a lot of work."	Your body likes a rhythm	"Sunlight, meals, and bedtime tell your body what time it is. Mixed signals can make you feel off.

A calm wind-down routine is doing real work, even if it feels boring."	
I3	eating	habit_added	Baron et al., 2013	https://pubmed.ncbi.nlm.nih.gov/23997356/	Late calories, fussier blood sugar	"Eating a big meal late at night tends to make blood-sugar control harder — even if the total calories are identical to an earlier meal.

It’s not about willpower. It’s just how the body prefers its schedule."	Late snacks and your body	"A very big meal late at night can make blood sugar trickier to handle — even with the same food earlier.

It is biology, not “being bad.”"	Late calories, fussier blood sugar	"Eating a big meal late at night tends to make blood-sugar control harder — even if the total calories are identical to an earlier meal.

It’s not about willpower. It’s just how the body prefers its schedule."	Late snacks and your body	"A very big meal late at night can make blood sugar trickier to handle — even with the same food earlier.

It is biology, not “being bad.”"	
I4	cardio	week_participation	Hillman et al. — exercise & cognition	https://pubmed.ncbi.nlm.nih.gov/	Movement sharpens thinking	"Ten minutes of walking, cycling, or anything that gets you moving tends to clear the mental fog fairly reliably. It’s one of the more reproducible findings in cognitive research.

You don’t need a full session. You just need to move."	Moving wakes up your brain	"About ten minutes of walking or moving often clears a fuzzy head.

You do not need a huge workout — wiggle, walk, dance."	Movement sharpens thinking	"Ten minutes of walking, cycling, or anything that gets you moving tends to clear the mental fog fairly reliably. It’s one of the more reproducible findings in cognitive research.

You don’t need a full session. You just need to move."	Moving wakes up your brain	"About ten minutes of walking or moving often clears a fuzzy head.

You do not need a huge workout — wiggle, walk, dance."	
I5	consistency	habit_added	Lally et al. — habit formation	https://pubmed.ncbi.nlm.nih.gov/19827987/	Piggyback on what you already do	"“After I make coffee, I do two minutes of stretching.” The existing habit does the reminding — you don’t have to remember anything new.

Small links are more durable than big resolutions."	Hook new habits to old ones	"Try: “After I brush my teeth, I do two stretches.” The old habit reminds you.

Tiny links beat giant promises."	Piggyback on what you already do	"“After I make coffee, I do two minutes of stretching.” The existing habit does the reminding — you don’t have to remember anything new.

Small links are more durable than big resolutions."	Hook new habits to old ones	"Try: “After I brush my teeth, I do two stretches.” The old habit reminds you.

Tiny links beat giant promises."	
I6	consistency	habit_added	Gollwitzer — implementation intentions	https://pubmed.ncbi.nlm.nih.gov/10620504/	“If this, then that” really works	"“If it’s Tuesday at 7pm, I go to the gym” outperforms “I should exercise more” every time. Specificity removes the daily decision.

Writing the when and where is most of the work done."	Say when and where	"“Tuesday after school I ride my bike” beats “I should move more.”

Brains love a clear plan."	“If this, then that” really works	"“If it’s Tuesday at 7pm, I go to the gym” outperforms “I should exercise more” every time. Specificity removes the daily decision.

Writing the when and where is most of the work done."	Say when and where	"“Tuesday after school I ride my bike” beats “I should move more.”

Brains love a clear plan."	
I7	neuroscience	habit_added	Schultz — reward learning (overview)	https://www.ncbi.nlm.nih.gov/books/NBK10921/	Why checking a box feels good	"Your brain pays attention to better-than-expected outcomes. A small visible win — a tick, a streak — registers as one. That’s not shallow; it’s just how learning works.

Aim that wiring at things worth repeating."	Why ticks feel good	"Your brain likes little wins — checkmarks, stars, streaks.

Use that power for habits that help you."	Why checking a box feels good	"Your brain pays attention to better-than-expected outcomes. A small visible win — a tick, a streak — registers as one. That’s not shallow; it’s just how learning works.

Aim that wiring at things worth repeating."	Why ticks feel good	"Your brain likes little wins — checkmarks, stars, streaks.

Use that power for habits that help you."	
I8	adhd	habit_added	Barkley — ADHD & time	https://pubmed.ncbi.nlm.nih.gov/21299070/	When time feels slippery	"Some brains genuinely struggle to feel how long things take without external cues. Calendars, alarms, and timers aren’t crutches — they’re just the right tool for that particular wiring.

Vague plans fail specific people. Specificity is the fix."	When time feels slippery	"Some brains need clocks, timers, or lists to feel how long things take. That is okay — tools are helpers.

“Someday” is fuzzy; “after snack” is friendly."	When time feels slippery	"Some brains genuinely struggle to feel how long things take without external cues. Calendars, alarms, and timers aren’t crutches — they’re just the right tool for that particular wiring.

Vague plans fail specific people. Specificity is the fix."	When time feels slippery	"Some brains need clocks, timers, or lists to feel how long things take. That is okay — tools are helpers.

“Someday” is fuzzy; “after snack” is friendly."	
I9	consistency	week_4	Neff — self-compassion research	https://self-compassion.org/	Beating yourself up is expensive	"Research is pretty consistent: self-criticism after a slip makes quitting more likely, not less. A calm restart keeps more people going long-term.

Flat tyre. Fix it. Drive on."	Be kind after a miss	"Being mean to yourself after a slip makes it harder to try again.

Fix it like a flat bike tyre: patch it and ride on."	Beating yourself up is expensive	"Research is pretty consistent: self-criticism after a slip makes quitting more likely, not less. A calm restart keeps more people going long-term.

Flat tyre. Fix it. Drive on."	Be kind after a miss	"Being mean to yourself after a slip makes it harder to try again.

Fix it like a flat bike tyre: patch it and ride on."	
I10	journal	week_participation	Pennebaker — expressive writing	https://pubmed.ncbi.nlm.nih.gov/	Paper as a pressure valve	"Writing about tangled thoughts for a few minutes consistently reduces rumination in study after study. You’re not trying to write well — you’re just clearing the inbox.

Messy notes count. Full sentences not required."	Writing calms a busy head	"A few minutes of messy writing can untangle worried thoughts.

You do not need perfect sentences."	Paper as a pressure valve	"Writing about tangled thoughts for a few minutes consistently reduces rumination in study after study. You’re not trying to write well — you’re just clearing the inbox.

Messy notes count. Full sentences not required."	Writing calms a busy head	"A few minutes of messy writing can untangle worried thoughts.

You do not need perfect sentences."	
